timestamp_s,x,y,polarity
0.396858000,208,87,1
0.396859000,227,76,1
0.396860000,141,184,-1
0.396861000,198,68,1
0.396861000,201,72,1
0.396861000,209,79,1
0.396861000,213,87,1
0.396861000,165,114,1
0.396862000,128,184,-1
0.396863000,159,86,-1
0.396863000,211,105,1
0.396863000,172,136,1
0.396865000,100,162,-1
0.396867000,167,126,1
0.396869000,211,106,-1
0.396871000,209,95,-1
0.396871000,157,98,1
0.396872000,168,117,-1
0.396872000,161,118,1
0.396873000,148,108,1
0.396873000,125,109,1
0.396873000,104,169,-1
0.396874000,202,70,1
0.396874000,193,120,-1
0.396874000,152,183,-1
0.396875000,214,95,1
0.396875000,171,119,-1
0.396875000,97,140,-1
0.396875000,111,176,-1
0.396875000,117,180,-1
0.396882000,159,84,-1
0.396892000,170,162,1
0.396896000,151,111,1
0.396899000,163,105,-1
0.396900000,179,66,1
0.396902000,213,100,1
0.396908000,142,108,1
0.396910000,107,205,1
0.396929000,197,68,1
0.396931000,160,118,1
0.396934000,212,81,1
0.396934000,104,204,1
0.396935000,191,66,1
0.396935000,155,113,1
0.396935000,172,135,1
0.396937000,208,80,-1
0.396938000,173,140,1
0.396941000,129,108,1
0.396944000,153,112,1
0.396948000,169,128,1
0.396948000,99,161,-1
0.396950000,146,109,1
0.396953000,161,110,-1
0.396956000,157,101,-1
0.396964000,162,78,-1
0.396964000,117,112,1
0.396968000,96,148,-1
0.396968000,120,181,-1
0.396969000,81,146,1
0.396969000,173,152,1
0.396975000,106,171,-1
0.396977000,131,184,-1
0.396979000,160,109,-1
0.396980000,140,184,-1
0.396985000,97,151,-1
0.396986000,137,106,-1
0.396987000,160,108,-1
0.396987000,119,111,1
0.396990000,117,180,-1
0.396992000,165,170,1
0.396993000,97,142,-1
0.396994000,158,99,-1
0.396995000,169,118,-1
0.396996000,168,116,-1
0.397000000,169,164,1
0.397002000,139,184,-1
0.397004000,161,78,-1
0.397004000,170,130,1
0.397006000,156,96,-1
0.397009000,158,115,1
0.397010000,199,69,1
0.397010000,168,126,1
0.397010000,98,156,-1
0.397012000,103,167,-1
0.397012000,110,175,-1
0.397017000,98,155,-1
0.397017000,129,184,-1
0.397018000,157,87,-1
0.397019000,99,133,-1
0.397023000,198,69,1
0.397023000,210,80,1
0.397026000,159,106,-1
0.397026000,131,185,-1
0.397027000,99,159,-1
0.397028000,125,183,-1
0.397029000,213,88,1
0.397029000,130,184,-1
0.397031000,187,68,-1
0.397032000,98,136,-1
0.397032000,116,179,-1
0.397034000,97,149,-1
0.397035000,145,183,-1
0.397037000,98,157,-1
0.397038000,211,82,1
0.397040000,202,71,1
0.397041000,100,161,-1
0.397042000,141,108,1
0.397042000,114,178,-1
0.397044000,102,165,-1
0.397047000,201,118,-1
0.397050000,163,113,-1
0.397050000,171,132,1
0.397053000,108,173,-1
0.397056000,173,140,1
0.397058000,157,100,-1
0.397059000,156,94,-1
0.397061000,107,172,-1
0.397061000,111,201,1
0.397062000,109,174,-1
